1: ([37.530824, -122.263565], [37.537589, -122.127749])
2: ([37.461778, -122.134765], [37.663783, -122.118296])
3: ([37.637062, -122.137598], [37.457101, -122.023465])
4: ([37.576953, -122.169194], [37.703578, -122.288845])
5: ([37.454937, -122.268371], [37.719453, -122.274197])
6: ([37.817162, -122.265623], [37.824450, -122.061336])
7: ([37.431897, -122.152483], [37.441716, -122.124681])
8: ([37.548259, -122.328399], [37.648338, -122.084729])
9: ([37.697329, -122.178291], [37.809523, -122.100523])
10: ([37.646301, -122.098892], [37.779451, -122.049610])
11: ([37.474004, -122.090934], [37.564600, -122.212069])
12: ([37.530697, -122.220957], [37.582525, -122.070353])
13: ([37.594117, -122.140307], [37.668024, -122.237183])
14: ([37.526441, -122.169163], [37.597926, -122.334346])
15: ([37.752648, -122.139237], [37.447418, -122.292446])
